Education,Marital_Status,Income,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,DealsPurchases,Web,Catalog,Store,WebVisitsMonth,Complain,Response,Age,Living_With,Total_Offsprings,Total_Expenditure,Family_Size,Total_Purchases,Campaigns_Accepted
Graduate,Single,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,66,Alone,One Child,1617,1,32,0
Graduate,Single,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,69,Alone,Three or More Children,27,3,11,0
Graduate,Together,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,58,Partner,One Child,776,2,25,0
Graduate,Together,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,39,Partner,Two Children,53,3,14,0
Postgraduate,Married,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,42,Partner,Two Children,422,3,24,0
Postgraduate,Together,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,56,Partner,Two Children,716,3,28,0
Graduate,Divorced,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,52,Alone,Two Children,590,2,27,0
Postgraduate,Married,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,38,Partner,Two Children,169,3,18,0
Postgraduate,Together,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,49,Partner,Two Children,46,3,15,0
Postgraduate,Together,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,0,0,73,Partner,Three or More Children,49,4,22,1
Graduate,Married,51412.0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,40,Partner,Two Children,19,3,11,0
Undergraduate,Married,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,47,Partner,One Child,61,2,14,0
Graduate,Divorced,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,64,Alone,One Child,1102,1,18,0
Postgraduate,Divorced,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,71,Alone,Three or More Children,310,3,21,0
Graduate,Married,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,36,Partner,One Child,46,2,13,0
Postgraduate,Single,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,77,Alone,One Child,1315,1,29,2
Graduate,Married,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,43,Partner,Three or More Children,96,4,17,0
Graduate,Together,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,77,Partner,One Child,317,2,20,0
