Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,Complain,Total_Offsprings,Living_With,Family_Size,Days_since_enrollment,Age,Total_Amount,Frequency,Total_purchases
Graduate,58138.0,58,635,88,546,172,88,88,3,0,0,Alone,1,663,66,1617,6,22
Graduate,46344.0,38,11,1,6,2,1,6,2,0,2,Alone,3,113,69,27,0,4
Graduate,71613.0,26,426,49,127,111,21,42,1,0,0,Partner,2,312,58,776,0,20
Graduate,26646.0,26,11,4,20,10,3,5,2,0,1,Partner,3,139,39,53,0,6
Postgraduate,58293.0,94,173,43,118,46,27,15,5,0,1,Partner,3,161,42,422,0,14
Postgraduate,62513.0,16,520,42,98,0,42,14,2,0,1,Partner,3,293,56,716,0,20
Graduate,55635.0,34,235,65,164,50,49,27,4,0,1,Alone,2,593,52,590,0,17
Postgraduate,33454.0,32,76,10,56,3,1,23,2,0,1,Partner,3,417,38,169,0,8
Postgraduate,30351.0,19,14,0,24,3,3,2,1,0,1,Partner,3,388,49,46,6,5
Postgraduate,5648.0,68,28,0,6,1,1,13,1,0,2,Partner,4,108,73,49,3,1
Undergraduate,7500.0,59,6,16,11,11,1,16,1,0,0,Partner,2,593,47,61,0,5
Graduate,63033.0,82,194,61,480,225,112,30,1,0,0,Alone,1,226,64,1102,0,15
Postgraduate,59354.0,53,233,2,53,3,5,14,3,0,2,Alone,3,226,71,310,0,12
Graduate,17323.0,38,3,14,17,6,1,5,1,0,0,Partner,2,627,36,46,0,4
Postgraduate,82800.0,23,1006,22,115,59,68,45,1,0,0,Alone,1,582,77,1315,12,25
Graduate,41850.0,51,53,5,19,2,13,4,3,0,2,Partner,4,552,43,96,0,6
Graduate,37760.0,20,84,5,38,150,12,28,2,0,0,Partner,2,667,77,317,0,11
Postgraduate,76995.0,91,1012,80,498,0,16,176,2,0,1,Partner,3,458,74,1782,1,24
Undergraduate,33812.0,86,4,17,19,30,24,39,2,0,1,Alone,2,603,38,133,0,6
Graduate,37040.0,41,86,2,73,69,38,48,1,0,0,Partner,2,690,41,316,0,11
Graduate,2447.0,42,1,1,1725,1,1,1,15,0,1,Partner,3,539,44,1730,0,28
Postgraduate,58607.0,63,867,0,86,0,0,19,3,0,1,Partner,3,553,74,972,4,14
Postgraduate,65324.0,0,384,0,102,21,32,5,3,0,1,Partner,3,169,69,544,0,17
Graduate,40689.0,69,270,3,27,39,6,99,7,0,1,Partner,3,468,72,444,0,13
Graduate,18589.0,89,6,4,25,15,12,13,2,0,0,Alone,1,543,54,75,0,6
Graduate,53359.0,4,173,4,30,3,6,41,4,0,2,Partner,4,398,47,257,0,10
Graduate,38360.0,26,36,2,42,20,21,10,2,0,1,Partner,3,394,34,131,0,7
